yearly_rainfall,kharif_rainfall,rabi_rainfall,summer_rainfall
3322.0599999999995,1925.68,865.9399999999999,530.4399999999999
2569.5199999999995,1712.66,241.78000000000003,615.0799999999999
2169.3199999999997,1543.76,127.68,497.88
1778.88,1220.22,145.76000000000002,412.9
2459.64,1875.6,140.52,443.52000000000004
1501.98,1166.9399999999998,152.54000000000002,182.5
1426.2999999999997,1145.2199999999998,167.38,113.7
1186.2800000000002,976.0600000000001,122.42,87.8
1026.64,840.46,87.19999999999999,98.98000000000002
689.88,579.75,75.32000000000001,34.81
1411.78,1110.78,169.82000000000002,131.18
421.14,331.88,41.3,47.959999999999994
535.78,411.52,66.52,57.74
1098.2599999999998,664.9399999999999,240.09999999999997,193.21999999999997
1089.6000000000001,516.6800000000001,293.36,279.56
556.2,510.04999999999995,19.380000000000003,26.77
1111.68,1011.49,73.47,26.720000000000002
810.2600000000001,790.98,15.34,3.9399999999999995
3041.4,2879.86,141.45999999999995,20.08
714.6799999999998,607.48,70.11,37.09
1299.2599999999998,1151.02,94.02,54.22
1037.32,654.34,288.3,94.68
942.8000000000001,770.44,98.94,73.42
884.5,297.65999999999997,446.14,140.7
1603.2375000000002,1246.715,199.2125,157.31
2817.8599999999997,1997.12,490.73999999999995,330.0
1050.245,423.745,56.236,110.023
1350.025,702.459,40.023,143.023456
35.214,80.926,9.627044,17.856023
560.1245,168.257,5.274,12.987422
550.1245,162.72,10.265748,3.274569
700.241,207.55,70.598,12.52
742.0124,235.4251,85.24316,12.4521
